ID,NAMES ,PARTY,STATE,FEDERAL  CONSTITUENCY,GENDER,AGE,STATUS
1,OSSY EHIRIODO OSSY PRESTIGE CHINEDU,APGA,ABIA,ABA--NORTH/ABA-SOUTH,Male,51,Returning Representative
2,NKOLE UKO NDUKWE,PDP,ABIA,AROCHUKWU/OHAFIA,Male,42,Returning Representative
3,BENJAMIN OKEZIE KALU,APC,ABIA,BENDE,Male,58,New Representative
4,SAMUEL IFEANYI ONUIGBO,PDP,ABIA,IKWUANO/UMUAHIA--NORTH/UMUAHIA--SOUTH,Male,47,Returning Representative
5,DARLINGTON NWOKOCHA,PDP,ABIA,ISIALA NGWA-NORTH/-SOUTH,Male,51,Returning Representative
6,NKEIRUKA C ONYEJEOCHA,APC,ABIA,ISUIKWU ATO/UMUNEOCHI,Female,49,Returning Representative
7,SOLOMON ADAELU,PDP,ABIA,OBINGWA/OSISI OMA/UGWUN AGBO,Male,46,Returning Representative
8,UZOMA NKEM ABONTA,PDP,ABIA,UKWA-EAST/UKWA-WEST,Male,56,Returning Representative
9,KWAMOTI BITRUS LAORI,PDP,ADAMAWA,DEMSA/LAMURDE/NUMAN,Male,52,Returning Representative
10,MUHAMMED MUSTAFA SAIDU,PDP,ADAMAWA,FUFORE/SONG,Male,57,New Representative
11,ABDULRAZAK SAAD NAMDAS,APC,ADAMAWA,GANYE/JADA/MAYOBELWA/TOUNGO,Male,49,Returning Representative
12,ABDULRAUF ABDULKADIR MODIBBO,APC,ADAMAWA,YOLA-NORTH/YOLA-SOUTH/GIREI,Male,32,New Representative
13,YUSUF BUBA YAKUB,APC,ADAMAWA,GOMBI/HONG,Male,50,Returning Representative
14,GIBEON GOROKI,PDP,ADAMAWA,GUYUK/SHELLENG,Male,57,New Representative
15,ZAKARIA DAUDA NYAMPA,PDP,ADAMAWA,MADAGALI/MICHIKA,Male,44,New Representative
16,JAAFAR ABUBAKAR MAGAJI,APC,ADAMAWA,MAIHA/MUBI-NORTH/MUBI-SOUTH,Male,38,New Representative
17,ANIEKAN JOHN UMANAH,PDP,AKWA IBOM,ABAK/ETIMEKPO/IKA,Male,50,New Representative
18,IFON PATRICK NATHAN,PDP,AKWA IBOM,EKET/ESITEKET/IBENO/ONNA,Male,60,New Representative
19,IKONG NSIKAK OKON,PDP,AKWA IBOM,IKOTEKPENE/ESSIEN UDIM/OBOTAKARA,Male,53,New Representative
20,ONOFIOK LUKE AKPAN,PDP,AKWA IBOM,ETINAN/NSITIBOM/NSITUBIUM,Male,40,New Representative
21,ENYONG MICHAEL OKON,PDP,AKWA IBOM,UYO/URUAN/NSIT ATAI/ASUTAN/IBESIKPO,Male,48,Returning Representative
22,ARCHIBONG HENRY OKON,PDP,AKWA IBOM,ITU/IBIONOIBOM,Male,52,Returning Representative
23,EMMANUEL UKPONG-UDO EFFIONG,PDP,AKWA IBOM,IKONO/INI,Male,43,New Representative
24,FRANCIS CHARLES UDUYOR,PDP,AKWA IBOM,IKOTA BASI/MKPA TENIN/-EASTERN OBOLO,Male,48,Returning Representative
25,EKPENYONG NSE,PDP,AKWA IBOM,MBO/OKOBO/ORON/UDUNGUKO/URUE,Male,54,Returning Representative
26,UNYIME JOSIAH IDEM,PDP,AKWA IBOM,UKANAFUN/ORUKANAM,Male,43,New Representative
27,UMEOJI CHUKWUMA MICHAEL,APGA,ANAMBRA,AGUATA,Male,51,New Representative
28,CHINEDU BENJAMIN OBIDIGWE,APGA,ANAMBRA,ANAMBRA-EAST/ANAMBRA-WEST,Male,39,New Representative
29,ONWUASO CHINEDU,PDP,ANAMBRA,AWKA-NORTH/AWKA-SOUTH,Male,47,New Representative
30,IBEZI IFEANYI ANTHONY,APGA,ANAMBRA,IDEMILI-NORTH/IDEMILI-SOUTH,Male,42,New Representative
31,IFEANYI CHUDY MOMAH,APGA,ANAMBRA,IHIALA,Male,35,New Representative
32,AYIKA VALENTINE OGBONNA,PDP,ANAMBRA,NJIKOKA/DUNUKOFIA/ANAOCHA,Male,53,New Representative
33,CHRIS EMEKA AZUBOGU,PDP,ANAMBRA,NNEWI-NORTH/NNEWI-SOUTH/EKWUSIGO,Male,49,Returning Representative
34,ONYEMA CHUKWUKA WILFRED,PDP,ANAMBRA,OGBARU,Male,48,Returning Representative
35,LYNDA CHUBA IKPEAZU,PDP,ANAMBRA,ONITSHA-NORTH/ONITSHA-SOUTH,Female,49,Returning Representative
36,EZENWANKWO OKWUDILI,APGA,ANAMBRA,ORUMBA-NORTH/ORUMBA-SOUTH,Male,42,New Representative
37,OFUMELU VINCENT EKENE,PDP,ANAMBRA,OYI/AYAMELUM,Male,41,New Representative
38,MOHAMMED MUSA PALI,APC,BAUCHI,ALKALERI/KIRFI,Male,48,New Representative
39,ABDULLAHI YAKUBU SHEHU,PRP,BAUCHI,BAUCHI,Male,43,New Representative
40,YAKUBU DOGARA,PDP,BAUCHI,BOGORO/DASS/TAFAWA BALEWA,Male,50,Returning Representative
41,MANU SORO MASUR,APC,BAUCHI,DARAZO/GANJUWA,Male,31,New Representative
42,GARBA GOLOLO MOHAMMED,APC,BAUCHI,GAMAWA,Male,43,Returning Representative
43,ABUBAKAR FAGGO KANI,APC,BAUCHI,SHIRA/GIADE,Male,53,New Representative
44,UBA BASHIR MASHEMA,APC,BAUCHI,JAMA'ARE/ITAS-GADAU,Male,54,New Representative
45,UMAR ABDULKADIR SARKI,PRP,BAUCHI,KATAGUM,Male,42,New Representative
46,MAKAMA MISAU IBRAHIM,APC,BAUCHI,MISAU/DAMBAM,Male,50,New Representative
47,ABDULKADIR SAAD ABDULLAHI,APC,BAUCHI,NINGI/WARJI,Male,40,New Representative
48,MUDA LAWAL UMAR,APC,BAUCHI,TORO,Male,32,New Representative
49,OMAR TATA,APC,BAUCHI,ZAKI,Male,55,Returning Representative
50,ISRAEL SUNNY GOLI,APC,BAYELSA,BRASS/NEMBE,Male,46,New Representative
51,AGBEDI FREDERICK YEITIEMONE,PDP,BAYELSA,EKEREMOR/SAGBAMA,Male,58,Returning Representative
52,STEPHEN SINIKIEM AZAIKI,PDP,BAYELSA,YENAGOA/KOLOKUMA-OPOKUMA,Male,58,New Representative
53,OBUA AZIBAPU FRED,PDP,BAYELSA,OGBIA,Male,58,New Representative
54,PREYE INFLUENCE GOODLUCK OSEKE,APC,BAYELSA,SOUTHERN-IJAW,Male,42,New Representative
55,FRANCIS OTTAH AGBO,PDP,BENUE,ADO/OGBADIGBO/OKPOKWU,Male,47,New Representative
56,GODDAY SAMUEL ODAGBOYI,LP,BENUE,APA/AGATU,Male,,New Representative
57,KPAM JIMIN SOKPO,PDP,BENUE,BURUKU,Male,,New Representative
58,JOHN DYEGH,APC,BENUE,GBOKO/TARKA,Male,,Returning Representative
59,MZONDU BENJAMIN BEM,PDP,BENUE,GUMA/MAKURDI,Male,41,New Representative
60,MARK TERSEER GBILLAH,PDP,BENUE,GWER-EAST/GWER-WEST,Male,,Returning Representative
61,IORKYAW RICHARD GBANDE,PDP,BENUE,KATSINAALA/UKUM/LOGO,Male,,New Representative
62,IORWASE HEMBE HERMAN C,APGA,BENUE,KONSHISHA/VANDEIKYA,Male,,Returning Representative
63,TYOUGH ROBERT AONDONA,PDP,BENUE,KWANDE/USHONGO,Male,,New Representative
64,,,BENUE,OJU/OBI,,,Declaration under duress
65,ONUH ONYECHE BLESSING,APGA,BENUE,OTUKPO/OHIMINI,Female,,New Representative
66,MALLAM BUKAR GANA,APC,BORNO,KUKAWA/MOBBAR/ABADAM/GUZAMALA,Male,,Returning Representative
67,HARUNA MSHELIA,APC,BORNO,ASKIRA-UBA/HAWUL,Male,,New Representative
68,ZAINAB GIMBA,APC,BORNO,BAMA/NGALA/KALABALGE,Female,,New Representative
69,MUKTAR BETARA ALIYU,APC,BORNO,BIU/KWAYA-KUSAR/SHANI/BAYO,Male,,Returning Representative
70,AHMADU USMAN JAHA,APC,BORNO,DAMBOA/GWOZACHIBOK,Male,,New Representative
71,IBRAHIM MOHAMMED BUKAR,APC,BORNO,DIKWA/MAFA/KONDUGA,Male,,New Representative
72,SATOMI ALHAJI AHMED,APC,BORNO,JERE,Male,,New Representative
73,USMAN ZANNAH,APC,BORNO,KAGA/GUBIO/MAGUMERI,Male,,New Representative
74,ABDULKADIR RAHIS,APC,BORNO,MAIDUGURIMETROPOLITAN,Male,,Returning Representative
75,MOHAMMED TAHIR MONGUNO,APC,BORNO,MONGUNO/NGANZAI/MARTE,Male,,Returning Representative
76,EGBONA ALEX,APC,CROSS RIVER,YAKURR/ABI,Male,57,New Representative
77,DANIEL EFFIONG ASUQUO,PDP,CROSS RIVER,AKAMKPA/BIASE,Male,56,Returning Representative
78,ESSIEN EKPENYONG AYI,PDP,CROSS RIVER,CALABAR-SOUTH/AKPABUYO/BAKASSI,Male,62,Returning Representative
79,OCHIGLEGOR IDAGBO,PDP,CROSS RIVER,OBANLIKU/OBUDU/BEKWARA,Male,47,Returning Representative
80,CHRISTOPHER NGORO AGIBE,PDP,CROSS RIVER,IKOM/BOKI,Male,57,Returning Representative
81,ETA MBORA EDIM,PDP,CROSS RIVER,CALABAR-MUNICIPAL/ODUKPANI,Male,56,Returning Representative
82,MICHAEL ETABA IROM,PDP,CROSS RIVER,OBUBRA/ETUNG,Male,36,Returning Representative
83,JARIGBE AGOM JARIGBE,PDP,CROSS RIVER,OGOJA/YALA,Male,47,Returning Representative
84,NDUDI GODWIN ELUMELU,PDP,DELTA,Aniocha-NORTH/Aniocha-SOUTH/Oshimili-NORTH/Oshimili-SOUTH,Male,53,New Representative
85,EBOMO NICHOLAS MUTU,PDP,DELTA,BOMADI/PATANI,Male,58,Returning Representative
86,JULIUS GBABOJOR PANDI,PDP,DELTA,BURUTU,Male,39,New Representative
87,BEN ROLAND IGBAKPA,PDP,DELTA,ETHIOPE-EAST/ETHIOPE-WEST,Male,52,Returning Representative
88,VICTOR ONYEMAECHI NWOKOLO,PDP,DELTA,IKA-NORTH-EAST/IKA-SOUTH,Male,54,Returning Representative
89,OGOR LEONARD OKUME,PDP,DELTA,ISOKO-NORTH/ISOKO-SOUTH,Male,59,Returning Representative
90,OSSAI NICHOLAS OSSAI,PDP,DELTA,NDOKWA-EAST/NDOKWA-WEST/UKWUANI,Male,55,Returning Representative
91,OBERUAKPEFE ANTHONY AFE,PDP,DELTA,OKPE/SAPELE/UVWIE,Male,51,New Representative
92,WAIVE EJIROGHENE FRANCIS,APC,DELTA,UGHELLI-NORTH/UGHELLI,Male,52,New Representative
93,THOMAS EREYITOMI,PDP,DELTA,WARRI-NORTH/WARRI-SOUTH/WARRI-SOUTH,Male,53,New Representative
94,SYLVESTER OGBAGA,PDP,EBONYI,ABAKALIKI/IZZI,Male,57,Returning Representative
95,IGARIWEY IDUMA ENWO,PDP,EBONYI,AFIKPO-NORTH/AFIKPO-SOUTH,Male,57,Returning Representative
