STATE,GEOPOLITICAL ZONE,CONSTITUENCY,NAME,PARTY,AGE,GENDER
BENUE,North Central,Konshisha I (Gaav),DYAKO CEPHAS TAUERSHIMA,ADC,27,MALE
BENUE,North Central,Katsina Ala East,AGBIDYEH JONATHAN AKUTE,APC,49,MALE
BENUE,North Central,Katsina Ala West,ORBAN JACOB TERUNGWA,APC,36,MALE
BENUE,North Central,Makurdi North I,KWAGH-KUDI THOMAS TERFA,APC,36,MALE
BENUE,North Central,Oju I,OGBU STEVE OTUMALA,APC,45,MALE
BENUE,North Central,Otukpo/Akpa (Otukpo I),ODEH JOHNSON BABA,APC,54,MALE
BENUE,North Central,Tarka,MNGUTYO BENJAMIN BEM,APC,57,MALE
BENUE,North Central,Ado,AGNES ULOKO,PDP,49,FEMALE
BENUE,North Central,Adoka/Ugboju (Otukpo II),MICHAEL AUDU,PDP,38,MALE
BENUE,North Central,Agatu,EDOH ABU GODWIN,PDP,55,MALE
BENUE,North Central,Apa,ABU UMARU JAMES,PDP,47,MALE
BENUE,North Central,Buruku,BUNDE IYONGO TORKUMA,PDP,38,MALE
BENUE,North Central,Gboko East,AGAIBE N.,PDP,49,FEMALE
BENUE,North Central,Gboko West,TERNA ACHIR,PDP,46,MALE
BENUE,North Central,Guma,WILLIAM MKANGE O.,PDP,50,MALE
BENUE,North Central,Gwer East,AGBATSE GEOFFRY,PDP,36,MALE
BENUE,North Central,Gwer West,CHEMETYOAPINE DAMIAN,PDP,36,MALE
BENUE,North Central,Kwande East,TERTSEA GBISEH,PDP,45,MALE
BENUE,North Central,Kwande West,SUGH ABANYI,PDP,58,MALE
BENUE,North Central,Logo,YAGBA VICTOR K.,PDP,42,MALE
BENUE,North Central,Makurdi South II,TERWASE AONDOAKAA,PDP,47,MALE
BENUE,North Central,Obi,ONCHE PETER,PDP,46,MALE
BENUE,North Central,Ogbadibo,PETER PATRICK ENEMARI,PDP,43,MALE
BENUE,North Central,Ohimini,CHRISTOPHER ADAJI,PDP,58,MALE
BENUE,North Central,Oju II,OKANGA JOSEPH OKPONYA,PDP,34,MALE
BENUE,North Central,Okpokwu,ANTHONY AGOM,PDP,42,MALE
BENUE,North Central,Ukum,THOMAS MLANGA,PDP,44,MALE
BENUE,North Central,Ushongo,ABASS IORWUESE AKOSO,PDP,43,MALE
BENUE,North Central,Vandeikya-Kyan II,UBA TITUS TYOAPINE,PDP,53,MALE
BENUE,North Central,Vandeikya-Tiev I,UCHA TERKAA D.,PDP,44,MALE
KOGI,North Central,Adavi,IBRAHIM USMAN,APC,45,MALE
KOGI,North Central,Ajaokuta,BELLO HASSAN ABDULLAHI,APC,37,MALE
KOGI,North Central,Ankpa I,AHMED MOHAMMED,APC,40,MALE
KOGI,North Central,Ankpa II,ALFA MOMOH RABIU,APC,41,MALE
KOGI,North Central,Bassa,DANIYA RANYI,APC,47,MALE
KOGI,North Central,Dekina/Biraidu (Dekina I),MOSES EDOKO ODODO,APC,49,MALE
KOGI,North Central,Ibaji,JOHN MONDAY UGADA ABAH,APC,57,MALE
KOGI,North Central,Idah,SULEIMAN ATTAJACHI MUSA,APC,60,MALE
KOGI,North Central,Igalamela/Odolu,ATABOR HENRY COSMAS,APC,42,MALE
KOGI,North Central,Ijumu,KILANI OLUSOLA OLUMO,APC,55,MALE
KOGI,North Central,Kabba/Bunu,KOLAWOLE OLUSHOLA MATTEW,APC,53,MALE
KOGI,North Central,Kogi (K.K),ABUBAKAR MUHAMMED TANKO,APC,43,MALE
KOGI,North Central,Lokoja I,UMAR ALHAJI ISA TANIMU,APC,56,MALE
KOGI,North Central,Lokoja II,NDAKO IDRIS MUHAMMED,APC,48,MALE
KOGI,North Central,Mopa-Muro,ADEMOLA BELLO,APC,41,MALE
KOGI,North Central,Ofu,AMODU SEIDU SHEHU,APC,41,MALE
KOGI,North Central,Ogori/Magongo,AKANDE OKE MOSES,APC,52,MALE
KOGI,North Central,Okehi,MUKTAR BAJEH,APC,38,MALE
KOGI,North Central,OKENE I (TOWN),MOHAMMED LAWI AHMED,APC,41,MALE
KOGI,North Central,Okene II (South),AHMED DAHIRU,APC,46,MALE
KOGI,North Central,Okura (Dekina II),ENEMA PAUL,APC,39,MALE
KOGI,North Central,Olamaboro,UJAH AZEWO ANTHONY,APC,36,MALE
KOGI,North Central,Omala,MUSA ATTAI HILARIONCOLLINS,APC,35,MALE
KOGI,North Central,Yagba East,MUSA JIMOH,APC,54,MALE
KOGI,North Central,Yagba West,ADERONKE ARO,APC,48,FEMALE
KWARA,North Central,Afon (Asa I),ALIYU WAHAB OPAKUNLE,APC,54,MALE
KWARA,North Central,Balogun/Ojumu (Offa I),POPOOLA SAHEED ADEKEYE,APC,47,MALE
KWARA,North Central,Edu,NDAMUSA MOHAMMED GUYEGI,APC,58,MALE
KWARA,North Central,Ekiti,ABOLARIN GANIYU GABRIEL,APC,42,MALE
