S/N ,NAME ,POLITICALPARTY,STATE ,SENATORIAL DISTRICT ,AGE ,GENDER,STATUS
1,Orji Uzor Kalu,APC,ABIA,Abia North,58,Male,New Senator
2,Theodore Ahamefule Orji,PDP,ABIA,Abia Central,67,Male,Returning Senator
3,Enyinnaya H. Abaribe,PDP,ABIA,Abia South,57,Male,Returning Senator
4,Aishatu Dahiru Binani,APC,ADAMAWA STATE,Adamawa Central,47,Female,New Senator
5,Isiaku Elijah Cliff,PDP,ADAMAWA STATE,Adamawa North,41,Male,New Senator
6,Yaro Binos Dauda,PDP,ADAMAWA STATE,Adamawa South,63,Male,New Senator
7,Eyakenyi Akon Etim,PDP,AKWA IBOM STATE,Akwa Ibom South,58,Female,New Senator
8,Albert Bassey Akpan,PDP,AKWA IBOM STATE,Akwa Ibom North East,45,Male,Returning Senator
9,Ekpeyong Christopher Stephen,PDP,AKWA IBOM STATE,Akwa Ibom North West,64,Male,New Senator
10,Stella Oduah,PDP,ANAMBRA STATE,Anambra North,56,Female,Returning Senator
11,Ifeanyi Ubah,YPP,ANAMBRA STATE,Anambra South,47,Male,New Senator
12,Uche Lilian Ekwunife,PDP,ANAMBRA STATE,Anambra Central,47,Female,New Senator
13,Bulkachuwa Adamu Muhammed,APC,BAUCHI STATE,Bauchi North,78,Male,New Senator
14,Haliru Dauda Jika,APC,BAUCHI STATE,Bauchi Central,42,Male,New Senator
15,Lawal Gumau,APC,BAUCHI STATE,Bauchi South,52,Male,Returning Senator
16,Ehwrudjakpo Lawrence,PDP,BAYELSA STATE,Bayelsa West,53,Male,New Senator
17,Diri Duoye,PDP,BAYELSA STATE,Bayelsa Central,59,Male,New Senator
18,Degi Eremienyo Biobaraku,APC,BAYELSA STATE,Bayelsa East,59,Male,New Senator
19,Abba Patrick Moro,PDP,BENUE STATE,Benue South,60,Male,New Senator
20,Gabriel Torwua Suswam,PDP,BENUE STATE,Benue North East,53,Male,New Senator
21,Emmanuel Orker-Jev,PDP,BENUE STATE,Benue North West,55,Male,New Senator
22,Ali Mohammed Ndume,APC,BORNO STATE,Borno South,59,Male,Returning Senator
23,Abubakar Suaib Kyari,APC,BORNO STATE,Borno North,55,Male,Returning Senator
24,Kasshim Shettima,APC,BORNO STATE,Borno Central,52,Male,New Senator
